extractor,k,seed,n_train,macro_f1
nfstream-common,100,1,401,0.41138399926974223
nfstream-common,100,2,401,0.4086313391153433
nfstream-common,100,3,401,0.40850107081157105
nfstream-common,100,4,401,0.39444852280236276
nfstream-native,1,0,5,0.22667957221989013
nfstream-native,1,1,5,0.37756152671455906
nfstream-native,1,2,5,0.40748503694290433
nfstream-native,1,3,5,0.3922466726826693
nfstream-native,1,4,5,0.29108151378142716
nfstream-native,5,0,21,0.4822358438184299
nfstream-native,5,1,21,0.5317298870563137
nfstream-native,5,2,21,0.47772501782384
nfstream-native,5,3,21,0.4436558688096971
nfstream-native,5,4,21,0.5446252086867844
nfstream-native,10,0,41,0.5672147954188638
nfstream-native,10,1,41,0.5091452142269366
nfstream-native,10,2,41,0.593057597318881
nfstream-native,10,3,41,0.5287222517990051
nfstream-native,10,4,41,0.5402389920571685
nfstream-native,50,0,201,0.5649228488645304
nfstream-native,50,1,201,0.5513124060533241
nfstream-native,50,2,201,0.5358318370607685
nfstream-native,50,3,201,0.5858644172858151
nfstream-native,50,4,201,0.576392118408806
nfstream-native,100,0,401,0.5644176860320158
nfstream-native,100,1,401,0.5621148786583816
nfstream-native,100,2,401,0.5761038623479522
nfstream-native,100,3,401,0.5667783256896074
nfstream-native,100,4,401,0.5344503734224517
