day,tool_a,tool_b,class,n,c_1to1,c_split,c_merge,c_unmatched
monday-pub,cicflowmeter-fixed,go-flows,ALL,7083,4354,486,1072,1171
monday-pub,cicflowmeter-fixed,go-flows,BENIGN,7083,4354,486,1072,1171
monday-pub,cicflowmeter-fixed,yaf,ALL,7083,4326,487,1101,1169
monday-pub,cicflowmeter-fixed,yaf,BENIGN,7083,4326,487,1101,1169
monday-pub,cicflowmeter-fixed,joy,ALL,7083,5330,1510,29,214
monday-pub,cicflowmeter-fixed,joy,BENIGN,7083,5330,1510,29,214
monday-pub,argus,nfstream,ALL,5717,4351,259,0,1107
monday-pub,argus,nfstream,BENIGN,5717,4351,259,0,1107
monday-pub,argus,zeek,ALL,5717,5448,267,0,2
monday-pub,argus,zeek,BENIGN,5717,5448,267,0,2
monday-pub,argus,tranalyzer,ALL,5717,5458,257,0,2
monday-pub,argus,tranalyzer,BENIGN,5717,5458,257,0,2
monday-pub,argus,cicflowmeter-orig,ALL,5717,740,708,0,4269
monday-pub,argus,cicflowmeter-orig,BENIGN,5717,740,708,0,4269
monday-pub,argus,cicflowmeter-fixed,ALL,5717,5253,450,0,14
monday-pub,argus,cicflowmeter-fixed,BENIGN,5717,5253,450,0,14
monday-pub,argus,go-flows,ALL,5717,3888,722,0,1107
monday-pub,argus,go-flows,BENIGN,5717,3888,722,0,1107
monday-pub,argus,yaf,ALL,5717,3894,712,0,1111
monday-pub,argus,yaf,BENIGN,5717,3894,712,0,1111
monday-pub,argus,joy,ALL,5717,4905,810,0,2
monday-pub,argus,joy,BENIGN,5717,4905,810,0,2
monday-pub,go-flows,nfstream,ALL,6975,5800,0,1167,8
monday-pub,go-flows,nfstream,BENIGN,6975,5800,0,1167,8
monday-pub,go-flows,zeek,ALL,6975,4711,54,468,1742
monday-pub,go-flows,zeek,BENIGN,6975,4711,54,468,1742
monday-pub,go-flows,tranalyzer,ALL,6975,4680,0,650,1645
monday-pub,go-flows,tranalyzer,BENIGN,6975,4680,0,650,1645
monday-pub,go-flows,cicflowmeter-orig,ALL,6975,621,722,1,5631
monday-pub,go-flows,cicflowmeter-orig,BENIGN,6975,621,722,1,5631
monday-pub,go-flows,cicflowmeter-fixed,ALL,6975,4354,256,1034,1331
monday-pub,go-flows,cicflowmeter-fixed,BENIGN,6975,4354,256,1034,1331
monday-pub,go-flows,argus,ALL,6975,3888,0,1949,1138
monday-pub,go-flows,argus,BENIGN,6975,3888,0,1949,1138
monday-pub,go-flows,yaf,ALL,6975,5583,689,123,580
monday-pub,go-flows,yaf,BENIGN,6975,5583,689,123,580
monday-pub,go-flows,joy,ALL,6975,2073,621,748,3533
monday-pub,go-flows,joy,BENIGN,6975,2073,621,748,3533
monday-pub,yaf,nfstream,ALL,6845,5390,17,1041,397
monday-pub,yaf,nfstream,BENIGN,6845,5390,17,1041,397
monday-pub,yaf,zeek,ALL,6845,4671,31,452,1691
monday-pub,yaf,zeek,BENIGN,6845,4671,31,452,1691
monday-pub,yaf,tranalyzer,ALL,6845,4681,4,500,1660
monday-pub,yaf,tranalyzer,BENIGN,6845,4681,4,500,1660
monday-pub,yaf,cicflowmeter-orig,ALL,6845,615,720,1,5509
monday-pub,yaf,cicflowmeter-orig,BENIGN,6845,615,720,1,5509
monday-pub,yaf,cicflowmeter-fixed,ALL,6845,4326,260,1034,1225
monday-pub,yaf,cicflowmeter-fixed,BENIGN,6845,4326,260,1034,1225
